LABEL,POSITION_T,Mean ch1
Label,T,Mean ch1
,(sec),(counts)
ID6342,260.0,573.5238095238095
ID7497,260.0,356.85714285714283
ID9141,260.0,318.3333333333333
ID2840,261.0,413.8095238095238
ID3850,261.0,565.047619047619
ID5262,261.0,284.2857142857143
ID6344,261.0,545.9047619047619
ID7501,261.0,359.5238095238095
ID9147,261.0,280.85714285714283
ID2842,262.0,436.3333333333333
ID3853,262.0,571.0
ID5266,262.0,278.6190476190476
ID6346,262.0,560.1904761904761
ID7505,262.0,362.1904761904762
ID9152,262.0,262.6190476190476
ID2844,263.0,423.76190476190476
ID3856,263.0,557.047619047619
ID5270,263.0,271.0952380952381
ID6348,263.0,570.5238095238095
ID7509,263.0,350.6190476190476
ID9155,263.0,261.23809523809524
ID2846,264.0,434.8095238095238
ID3858,264.0,557.2857142857143
ID5274,264.0,282.3333333333333
ID6350,264.0,560.8571428571429
ID7513,264.0,362.7142857142857
ID9159,264.0,302.6190476190476
ID2849,265.0,419.7142857142857
ID3861,265.0,560.7619047619048
ID5278,265.0,286.6666666666667
ID6352,265.0,560.0952380952381
ID7517,265.0,359.95238095238096
ID9166,265.0,247.23809523809524
ID2851,266.0,423.7142857142857
ID3863,266.0,547.2380952380952
ID5282,266.0,283.23809523809524
ID6354,266.0,552.952380952381
ID7521,266.0,350.1904761904762
ID9169,266.0,244.76190476190476
ID2853,267.0,412.14285714285717
ID3865,267.0,568.4761904761905
ID5286,267.0,279.5238095238095
ID6356,267.0,553.4285714285714
ID7525,267.0,370.1904761904762
ID9172,267.0,231.33333333333334
ID2855,268.0,422.0
ID3867,268.0,562.7142857142857
ID5290,268.0,286.3809523809524
ID6358,268.0,547.0
ID7527,268.0,337.8095238095238
ID9175,268.0,251.04761904761904
ID2857,269.0,420.95238095238096
ID3870,269.0,548.1428571428571
ID5294,269.0,278.7142857142857
ID6360,269.0,557.6666666666666
ID7531,269.0,365.6190476190476
ID9179,269.0,220.14285714285714
ID2859,270.0,441.1904761904762
ID3872,270.0,567.6190476190476
ID5298,270.0,272.57142857142856
ID6362,270.0,551.1904761904761
ID7535,270.0,366.6190476190476
ID9183,270.0,240.95238095238096
ID2861,271.0,420.3809523809524
ID3874,271.0,555.6190476190476
ID5302,271.0,287.23809523809524
ID6364,271.0,552.7619047619048
ID7538,271.0,361.8095238095238
ID9188,271.0,225.76190476190476
ID2864,272.0,426.4761904761905
ID3877,272.0,517.7619047619048
ID5306,272.0,277.85714285714283
ID6366,272.0,540.0952380952381
ID7542,272.0,361.5238095238095
ID9191,272.0,239.66666666666666
ID2866,273.0,427.57142857142856
ID3879,273.0,534.6666666666666
ID5310,273.0,274.57142857142856
ID6368,273.0,549.1428571428571
ID7545,273.0,342.14285714285717
ID9194,273.0,254.47619047619048
ID2869,274.0,423.42857142857144
ID3881,274.0,517.047619047619
ID5314,274.0,255.71428571428572
ID6370,274.0,536.8571428571429
ID7549,274.0,335.8095238095238
ID9197,274.0,286.42857142857144
ID2872,275.0,409.6666666666667
ID3883,275.0,507.14285714285717
ID5318,275.0,286.9047619047619
ID6372,275.0,516.5238095238095
ID7553,275.0,341.6666666666667
ID9202,275.0,271.6666666666667
ID2874,276.0,407.23809523809524
ID3886,276.0,500.14285714285717
ID5323,276.0,273.1904761904762
ID6374,276.0,508.4761904761905
ID7556,276.0,338.6666666666667
ID9208,276.0,272.0
ID2876,277.0,418.0
ID3888,277.0,509.1904761904762
ID5327,277.0,286.6190476190476
ID6376,277.0,523.4285714285714
ID7560,277.0,335.6666666666667
ID9215,277.0,291.85714285714283
ID2879,278.0,409.57142857142856
ID3891,278.0,516.7619047619048
ID5331,278.0,279.23809523809524
ID6378,278.0,514.8095238095239
ID7564,278.0,342.04761904761904
ID9219,278.0,271.9047619047619
ID2881,279.0,399.6190476190476
ID3893,279.0,506.0952380952381
ID5335,279.0,261.6190476190476
ID6380,279.0,513.952380952381
ID7568,279.0,328.9047619047619
ID9222,279.0,278.1904761904762
ID2883,280.0,401.7142857142857
ID3896,280.0,508.04761904761904
ID5339,280.0,267.85714285714283
ID6382,280.0,523.952380952381
ID7572,280.0,337.95238095238096
ID9230,280.0,300.0
ID2885,281.0,470.95238095238096
ID3899,281.0,556.7619047619048
ID5343,281.0,276.8095238095238
ID6384,281.0,566.1428571428571
ID7576,281.0,395.3809523809524
ID9236,281.0,267.04761904761904
ID2888,282.0,399.23809523809524
ID3902,282.0,510.04761904761904
ID5348,282.0,287.8095238095238
ID6386,282.0,528.5238095238095
ID7581,282.0,338.85714285714283
ID9241,282.0,295.9047619047619
ID2890,283.0,427.57142857142856
ID3904,283.0,519.9047619047619
ID5354,283.0,290.0
ID6388,283.0,539.3809523809524
ID7585,283.0,338.23809523809524
ID9247,283.0,257.76190476190476
ID2892,284.0,419.95238095238096
ID3907,284.0,525.3333333333334
ID5358,284.0,281.85714285714283
ID6390,284.0,563.1904761904761
ID7589,284.0,355.76190476190476
ID9254,284.0,239.04761904761904
ID2894,285.0,415.2857142857143
ID3910,285.0,528.6666666666666
ID5362,285.0,275.8095238095238
ID6392,285.0,534.2857142857143
ID7593,285.0,368.4761904761905
ID9257,285.0,242.38095238095238
ID2896,286.0,411.0952380952381
ID3913,286.0,526.047619047619
ID5366,286.0,277.1904761904762
ID6394,286.0,542.047619047619
ID7597,286.0,348.3333333333333
ID9260,286.0,242.23809523809524
ID2898,287.0,426.04761904761904
ID3916,287.0,514.1904761904761
ID5370,287.0,283.04761904761904
ID6396,287.0,521.952380952381
ID7601,287.0,358.3333333333333
ID9263,287.0,223.57142857142858
ID2900,288.0,411.4761904761905
ID3918,288.0,526.6666666666666
ID5374,288.0,270.04761904761904
ID6398,288.0,546.9047619047619
ID7605,288.0,369.42857142857144
ID9266,288.0,227.95238095238096
ID2902,289.0,384.0
ID3920,289.0,454.4761904761905
ID5379,289.0,273.42857142857144
ID6400,289.0,472.8095238095238
ID7608,289.0,312.76190476190476
ID9269,289.0,269.85714285714283
ID2907,290.0,438.9047619047619
ID3924,290.0,533.047619047619
ID5385,290.0,285.3809523809524
ID6402,290.0,529.5714285714286
ID7613,290.0,371.95238095238096
ID9274,290.0,245.0952380952381
ID2911,291.0,369.76190476190476
ID3926,291.0,469.0
